,Name,City,State,Level A,Level B,Level C,Level D,Last_Inspected_Date
34,Dodge County Jail,Juneau,WI,9.209580838,16.04790419,44.86227545,41.22754491,2024-08-15
35,East Hidalgo Detention Center,La Villa,TX,1.377245509,0.359281437,0.580838323,0.431137725,2024-08-22
36,Eden Detention Ctr,Eden,TX,103.2095808,5.982035928,0.784431138,0.389221557,2025-02-27
37,El Paso Service Processing Center,El Paso,TX,311.7724551,185.7185629,141.5628743,84.00598802,2025-02-13
38,El Paso Soft Sided Facili,El Paso,TX,1.05988024,0.80239521,0.497005988,0.155688623,
39,El Valle Detention Facility,Raymondville,TX,747.8922156,37.11976048,39.50299401,33.65868263,2025-03-06
40,Elizabeth Contract Detention Facility,Elizabeth,NJ,84.25149701,170.3233533,17.73053892,6.401197605,2024-12-05
41,Eloy Federal Contract Facility,Eloy,AZ,1041.886228,45.53892216,114.6886228,125.6107784,2024-10-31
42,Erie County Jail,Erie,PA,1.323353293,0.892215569,0.317365269,0.19760479,2024-03-20
43,Etowah County Jail Alabama,Gadsden,AL,1.083832335,1.251497006,1.125748503,0.341317365,2021-12-03
44,Fayette County Detention Center,Lexington,KY,0.203592814,0.25748503,0.419161677,0.532934132,2024-09-12
45,Fdc Philadelphia,Philadelphia,PA,9.425149701,1.676646707,3.347305389,4.616766467,
46,Florence Service Processing Center,Florence,AZ,303.5568862,71.79041916,1.508982036,1.48502994,2025-02-13
47,Florence Staging Facility,Florence,AZ,108.2754491,36.10778443,23.13173653,10.7245509,2024-12-12
48,Folkston Annex Ipc,Folkston,GA,188.8443114,25.25748503,37.47305389,15.91017964,2025-01-28
49,Folkston Main Ipc,Folkston,GA,348.8682635,132.0,91.49700599,40.5508982,2025-01-28
50,Freeborn County Adult Detention Center,Albert Lea,MN,14.92814371,11.22155689,38.36526946,11.01197605,2025-03-06
51,Geauga County Jail,Chardon,OH,24.67664671,13.05988024,7.580838323,2.694610778,2025-01-30
52,Golden State Annex,Mcfarland,CA,189.5688623,65.29341317,108.1676647,162.3532934,2025-01-30
53,Grand Forks County Correctional Facility,Grand Forks,ND,0.233532934,0.0299,2.520958084,0.024,2024-07-11
54,Grayson County Jail,Leitchfield,KY,4.868263473,2.095808383,3.664670659,1.574850299,2024-08-22
55,Greene County Jail,Springfield,MO,14.50299401,3.083832335,8.598802395,5.886227545,
56,Hancock County Public Safety Complex,Bay St. Louis,MS,7.856287425,4.19760479,3.353293413,0.844311377,2024-05-09
57,Henderson Detention,Henderson,NV,11.43712575,20.0,25.96407186,11.30538922,2024-09-19
58,Honolulu Federal Detention Center,Honolulu,HI,3.814371257,6.97005988,10.58682635,3.988023952,
59,Houston Contract Detention Facility,Houston,TX,774.5269461,35.06586826,12.95209581,6.604790419,2025-01-30
60,Iah Secure Adult Detention Facility Polk,Livingston,TX,679.4071856,67.04191617,28.82035928,11.74850299,2025-02-13
61,Imperial Regional Detention Facility,Calexico,CA,590.6586826,17.53892216,31.31736527,31.07784431,2025-01-16
62,Jackson Parish Correctional Center,Jonesboro,LA,904.6886228,79.24550898,3.48502994,1.874251497,2024-12-12
63,Jefferson County Jail,Rigby,ID,0.568862275,0.682634731,1.239520958,0.646706587,2024-07-18
64,Joe Corley Processing Ctr,Conroe,TX,718.2215569,64.55688623,23.07185629,11.50898204,2024-12-19
65,Kandiyohi County Jail,Willmar,MN,26.31736527,20.38323353,71.07784431,24.60479042,2025-03-13
66,Karnes County Correctional Center,Karnes City,TX,0.347305389,0.215568862,0.988023952,0.0479,2024-04-12
67,Karnes County Immigration Processing Center,Karnes City,TX,908.6706587,16.35928144,1.143712575,0.0479,2024-03-21
68,Kay Co Justice Facility,Newkirk,OK,38.99401198,22.05389222,20.21556886,12.34131737,2025-03-07
69,Knox County Detention Facility,Knoxville,TN,2.51497006,3.598802395,3.323353293,1.389221557,2024-09-26
70,Krome North Service Processing Center,Miami,FL,92.01796407,33.33532934,262.2694611,291.2754491,2024-09-12
71,La Salle County Regional Detention Center,Encinal,TX,8.910179641,0.706586826,0.0,0.0719,2025-02-07
72,Laredo Processing Center,Laredo,TX,335.3832335,3.868263473,2.976047904,4.94011976,2024-09-12
73,Leavenworth Us Penitentiary,Leavenworth,KS,5.652694611,1.461077844,3.574850299,4.359281437,
74,Lexington County Jail,Lexington,SC,0.916167665,1.48502994,0.706586826,0.311377246,2024-08-08
75,Limestone County Detention Center,Groesbeck,TX,15.86227545,1.670658683,3.646706587,2.790419162,2024-09-26
76,Lincoln County Jail,North Platte,NE,0.317365269,0.155688623,0.610778443,0.173652695,2024-12-23
77,Marion County Jail,Indianapolis,IN,3.45508982,1.383233533,2.107784431,1.191616766,2023-12-31
78,Mesa Verde Ice Processing Center,Bakersfield,CA,0.0,2.461077844,12.58682635,35.65269461,2024-06-13
79,Miami Federal Detention,Miami,FL,10.49700599,8.371257485,38.49101796,21.05389222,
80,Miami Staging Facility,Miami,FL,1.604790419,0.74251497,0.54491018,0.281437126,
81,Monroe County Detentiondorm,Monroe,MI,63.53293413,15.69461078,1.934131737,1.113772455,2025-03-13
82,Montgomery Ice Processing Center,Conroe,TX,149.5568862,561.4251497,355.2694611,160.9760479,2024-12-05
83,Moshannon Valley Processing Center,Philipsburg,PA,205.245509,96.46706587,542.2754491,402.0598802,2025-03-06
84,Nassau County Correctional Center,East Meadow,NY,1.71257485,0.317365269,0.389221557,0.383233533,
85,Nevada Southern Detention Center,Pahrump,NV,91.84431138,81.47904192,54.88023952,45.55688623,
86,New Hanover County Jail,Castle Hayne,NC,0.293413174,0.239520958,0.299401198,0.520958084,2024-08-22
87,Northeast Ohio Correctional Center,Youngstown,OH,8.658682635,4.0,3.245508982,3.05988024,
88,Northwest Ice Processsing Center,Tacoma,WA,452.3592814,89.41317365,157.2934132,180.7185629,2025-01-30
89,Northwest State Correctional Center,Swanton,VT,5.51497006,0.149700599,0.22754491,0.131736527,2024-06-27
90,Oldham County Jail,La Grange,KY,2.880239521,1.053892216,2.574850299,1.71257485,2024-09-19
